D	K7	K2	K18	VR8	VR17	VR25	VR28	VR40	VR48	291_1	294_1	297_1
E	K8	K4	VR1	VR9	VR18	VR26	VR30	VR41	VR49	291_2	294_2	297_2
F	K10	K5	VR2	VR10	VR19	VR27	VR33	VR42	VR50	291_3	294_3	297_3
G	K12	K9	VR3	VR11	VR20	VR29	VR34	VR43	VR51	291_4	294_4	dasklip1
H	K13	K11	VR4	VR12	VR21	VR31	VR36	VR44	VR52	291_5	294_5	dasklip2
												
Pscabrum_SAf2012_Plate2	1	2	3	4	5	6	7	8	9	10	11	12
A	HB1	HB9	HB17	HB27	HB37	HB45	H11	H19	H9	SEW2	SEW8	SEW15
B	HB2	HB10	HB18	HB28	HB38	HB46	H12	H2	HB23	SEWUSE2	SEW9_A	SEW16
C	HB3	HB11	HB20	HB29	HB39	HB47	H13	H3	SEW3A	SEWUSE4	SEW9	SEW17
D	HB4	HB12	HB21	HB30	HB40	HB48	H1	H35	M1	SEW4	SEW10	SEW18
E	HB5	HB13	HB22	HB31	HB41	HB49	H15	H36	SEWUSE3	SEW5	SEW11	SEW19
F	HB6	HB14	HB24	HB32	HB42	HB50	H16	H5	SEWUSE1	SEW6	SEW12	SEWINT1
G	HB7	HB15	HB25	HB33	HB43	H14	H17	H7	SEW1	SEW7	SEW13	SPB
H	HB8	HB16	HB26	HB34	HB44	H10	H18	H8	SEW3	SEWINT2	SEW14	160A_7
												
Pscabrum_SAf2012_Plate3	1	2	3	4	5	6	7	8	9	10	11	12
A	SPPA	SW4	SB10	1005_C	EZ6	EZ20	NR3	NR11	N3	AU15	AU29	AU13
B	SPPB	SB7	SB12	1005_D	EZ7	E1	NR4	NR12	N4	AU16	AU39	AU14
C	SPPB	SW11	SW13	EZ1	EZ8	E2	NR5	NR13	N5	AU17	AU8	AU2
D	SPPB	SW1	SW14	EZ2	EZ9	E3	NR6	NR14	N7	AU18	AU20	AU5
E	714	SW5	SB16	EZ3	EZ10	E4	NR7	NR15	N8	AU19	AU1	AU21
F	SWP1	SB8	SB9	EZ4	EZ17	E5	NR8	NR16	N9	AU22	AU10	AU24_A
G	SW3	SWP2	1005_A	EZ5	EZ18	NR1	NR9	N1	dasklip3	AU23	AU11	AU25
H	SW2	SB6	1005_B	EZ11	EZ19	NR2	NR10	N2	dasklip4	AU28	AU12	AU24_B
												
Pscabrum_SAf2012_Plate4	1	2	3	4	5	6	7	8	9	10	11	12
A	AU26	AU35	AU9	FG8	FG14	FG22	FG30	fg3	MEP1	MEP4	ME14	ME17
B	AU27	AU36	FG1	FG9	FG17	FG23	FG31	fg5	ME1	MEP5	MEP6	ME18
C	AU3	AU37	FG2	FG11	FG18	FG24	FG32	fg6	MEP2	ME12	ME10	SPPB
D	AU30	AU38	fg2	FG10	FG16	FG25	FG12	fg7	ME6	ME11	ME16	SPPB
E	AU31	AU4	FG3	fg11	FG15	FG26	FG5	fg8	ME2	ME7	MEP7	SPPA
F	AU32	AU40	fg4	fg12	FG19	FG28	FG6	fg9	ME3	ME8	ME15	SPPA
G	AU33	AU6	FG4	FG13	FG20	FG29	FG27	fg10	MEP3	ME9	MEP8	SPPC
H	AU34	AU7	FG7	fg13	FG21	fg16	fg1	fg14	ME5	ME13	ME4	SPPC
												
Pscabrum_SAf2012_Plate5	1	2	3	4	5	6	7	8	9	10	11	12
A	M1_UDP	M2_UDP	UD1	UD4	UP39	UP11	UP19	UP27	UP35	UP6	SPPC_1	PALCH_2
B	M10_UDP	M3_UDP	UD10	UD5	UP40	UP12	UP2	UP28	UP36	UP7	SPPC_2	PALCH_3
C	M11_UDP	M4_UDP	UP10_A	UD6	UP42	UP13	UP20	UP29	UP4	UP8	SPPD_1	160_A_1
D	M12_UDP	M4A_UDP	UD11	UD7	UP43	UP14	UP21	UP3	UP41	UP9	SPPD_2	160_A_2
E	M13_UDP	M6_UDP	UD12	UD8	UP45	UP15	UP23	UP30	UP44	SPPA_1	SPPE_1	160_A_3
F	M14_UDP	M7_UDP	UD13	UP22	UD3	UP16	UP24	UP31	UP46	SPPA_2	SPPE_2	160_A_4
G	M15_UDP	M8_UDP	UD14	UP33	UP1	UP17	UP25	UP32	UP47	SPPB_1	SPPF_1	160_A_5
H	M16_UDP	M9_UDP	UD2	UP38	UP10	UP18	UP26	UP34	UP5	SPPB_2	PALCH_1	160_A_6
												
Pscabrum_SAf2012_Plate6	1	2	3	4	5	6	7	8	9	10	11	12
A	1605	M1	M9	M17	M25	M32_B	int1	MG21	MG33	MG51	MG14	MG32
B	1606	M2	M10	M18	M26	M33	int2	MG22_B	MG36	MG7	MG15	MG34
C	1607	M3	M11	M19	M27	M34	int3	MG23	MG37	MG8	MG19	MG35
D	1608	M4	M12	M20	M35	M28	MG3	MG25	MG38	MG9	MG20	MG39
E	1609	M5	M13	M21	M29	MG1	MG6	MG27	MG49	MG10	MG22_A	MG40
F	1610	M6	M14	M22	M30	MG2	MG16	MG28	MG50	MG11	MG24	MG41
G	1611	M7	M15	M23	M31	MG4	MG17	MG30	MG53	MG12	MG26	MG42_A
H	1612	M8	M16	M24	M32_A	MG5	MG18	MG31	MG48	MG13	MG29	MG42_B
												
Pscabrum_SAf2012_Plate7	1	2	3	4	5	6	7	8	9	10	11	12
A	MG43	MG56	MB4	MB12	ORW14	ORW25	ORW19	PK_C	PK18	PK5_B	PK22	PH3
B	MG44	MG57	MB5	MB13	ORW15	ORW5	ORW20	PK_D	PK19	PK6	PK3	PH5
C	MG45	MG58	MB6	MB14	ORW16	ORW6	ORW22	PK1	PK20	PK7	PK9	PH6
D	MG46	MG59	MB7	MB15	ORW17	ORW7	ORW23	PK11	PK21	PK8	PH10	PH1
E	MG47	MG60	MB8	MB16	ORW18	ORW8	ORW3	PK12	PK23	PK10	PH13	PH11
F	MG52	MB1	MB9	ORW11	ORW2	ORW9	ORW4	PK13	PK24	PK14	PH14	PH12
G	MG54_A	MB2	MB10	ORW10	ORW21	ORW1	PK_A	PK15	PK4	PK16	PH16	PH15
H	MG54_B	MB3	MB11	ORW12	ORW24	ORW13	PK_B	PK17	PK5_A	PK2	PH2	PH17
												
Pscabrum_SAf2012_Plate8	1	2	3	4	5	6	7	8	9	10	11	12
A	PH18	PH8	LG16	carn_144_1	carn_293_3	carn_142_9	carn_142_10	ark_6	ark_14	ark_22	ark_30	ark_38
B	PH19	PH9	LG18	carn_144_2	carn_288_2	carn_142_3	myrh_142_1	ark_7	ark_15	ark_23	ark_31	ark_39
C	PH20	LG12	LG19	carn_144_3	carn_29_2	carn_142_4	myrh_142_2	ark_8	ark_16	ark_24	ark_32	ark_40
D	PH21	LG13	LG20	carn_144_4	carn_2	carn_142_5	ark_1	ark_9	ark_17	ark_25	ark_33	carn_20_1
E	PH22	LG17	LG9	carn_144_5	carnunk_142	carn_142_6	ark_2	ark_10	ark_18	ark_26	ark_34	carn_20_2
F	PH23	LG28	160A_8	carn_144_6	carnpulch_142	carn_142_7	ark_3	ark_11	ark_19	ark_27	ark_35	carn_21_4
